date,iso_code,weekly_new_cases,weekly_total_cases
29-12-19 00:00,AFG,5,5
05-01-20 00:00,AFG,0,5
12-01-20 00:00,AFG,3,8
19-01-20 00:00,AFG,18,26
26-01-20 00:00,AFG,18,42
02-02-20 00:00,AFG,124,166
09-02-20 00:00,AFG,201,367
16-02-20 00:00,AFG,298,665
23-02-20 00:00,AFG,361,1026
01-03-20 00:00,AFG,677,1703
08-03-20 00:00,AFG,766,2469
15-03-20 00:00,AFG,2498,4967
22-03-20 00:00,AFG,2688,7655
29-03-20 00:00,AFG,4262,11917
05-04-20 00:00,AFG,4661,16578
12-04-20 00:00,AFG,4730,21308
19-04-20 00:00,AFG,4411,25719
26-04-20 00:00,AFG,3848,29567
03-05-20 00:00,AFG,1878,31445
10-05-20 00:00,AFG,2025,33470
17-05-20 00:00,AFG,1356,34826
24-05-20 00:00,AFG,875,35701
31-05-20 00:00,AFG,753,36454
07-06-20 00:00,AFG,379,36833
14-06-20 00:00,AFG,522,37355
21-06-20 00:00,AFG,330,37685
28-06-20 00:00,AFG,471,38156
05-07-20 00:00,AFG,126,38282
12-07-20 00:00,AFG,324,38606
19-07-20 00:00,AFG,295,38901
26-07-20 00:00,AFG,281,39182
02-08-20 00:00,AFG,158,39340
09-08-20 00:00,AFG,232,39572
16-08-20 00:00,AFG,442,40014
23-08-20 00:00,AFG,447,40461
30-08-20 00:00,AFG,476,40937
06-09-20 00:00,AFG,696,41633
13-09-20 00:00,AFG,664,42297
20-09-20 00:00,AFG,1106,43403
27-09-20 00:00,AFG,1585,44988
04-10-20 00:00,AFG,1510,46498
11-10-20 00:00,AFG,1638,48136
18-10-20 00:00,AFG,1348,49484
25-10-20 00:00,AFG,1404,50888
01-11-20 00:00,AFG,1259,52147
08-11-20 00:00,AFG,864,53011
15-11-20 00:00,AFG,573,53584
22-11-20 00:00,AFG,557,54141
29-11-20 00:00,AFG,609,54750
06-12-20 00:00,AFG,371,55121
13-12-20 00:00,AFG,263,55384
20-12-20 00:00,AFG,134,55518
27-12-20 00:00,AFG,128,55646
03-01-21 00:00,AFG,113,55759
10-01-21 00:00,AFG,117,55876
17-01-21 00:00,AFG,119,55995
24-01-21 00:00,AFG,182,56177
31-01-21 00:00,AFG,207,56384
07-02-21 00:00,AFG,395,56779
14-02-21 00:00,AFG,585,57364
21-02-21 00:00,AFG,673,58037
28-02-21 00:00,AFG,1188,59225
07-03-21 00:00,AFG,1338,60563
14-03-21 00:00,AFG,1840,62403
21-03-21 00:00,AFG,1416,63819
28-03-21 00:00,AFG,3084,66903
04-04-21 00:00,AFG,6074,72977
11-04-21 00:00,AFG,9349,82326
18-04-21 00:00,AFG,10946,93272
25-04-21 00:00,AFG,12477,105749
02-05-21 00:00,AFG,11409,117158
09-05-21 00:00,AFG,10306,127464
16-05-21 00:00,AFG,8425,135889
23-05-21 00:00,AFG,6525,142414
30-05-21 00:00,AFG,2594,145008
06-06-21 00:00,AFG,3564,148572
13-06-21 00:00,AFG,2441,151013
20-06-21 00:00,AFG,1230,152243
27-06-21 00:00,AFG,417,152660
04-07-21 00:00,AFG,560,153220
11-07-21 00:00,AFG,406,153626
18-07-21 00:00,AFG,554,154180
25-07-21 00:00,AFG,532,154712
01-08-21 00:00,AFG,381,155093
08-08-21 00:00,AFG,216,155309
15-08-21 00:00,AFG,290,155599
22-08-21 00:00,AFG,202,155801
29-08-21 00:00,AFG,270,156071
05-09-21 00:00,AFG,236,156307
12-09-21 00:00,AFG,90,156397
19-09-21 00:00,AFG,252,156649
26-09-21 00:00,AFG,366,157015
03-10-21 00:00,AFG,274,157289
10-10-21 00:00,AFG,219,157508
17-10-21 00:00,AFG,152,157660
24-10-21 00:00,AFG,156,157816
31-10-21 00:00,AFG,182,157998
07-11-21 00:00,AFG,213,158205
14-11-21 00:00,AFG,266,158471
21-11-21 00:00,AFG,503,158974
28-11-21 00:00,AFG,1278,160252
05-12-21 00:00,AFG,3303,163555
12-12-21 00:00,AFG,4184,167739
19-12-21 00:00,AFG,3683,171422
26-12-21 00:00,AFG,1294,172716
02-01-22 00:00,AFG,1163,173879
09-01-22 00:00,AFG,1474,175353
16-01-22 00:00,AFG,1218,176571
23-01-22 00:00,AFG,684,177255
30-01-22 00:00,AFG,403,177658
06-02-22 00:00,AFG,274,177932
13-02-22 00:00,AFG,325,178257
20-02-22 00:00,AFG,256,178513
27-02-22 00:00,AFG,256,178769
06-03-22 00:00,AFG,132,178901
13-03-22 00:00,AFG,116,179017
20-03-22 00:00,AFG,311,179328
27-03-22 00:00,AFG,443,179771
03-04-22 00:00,AFG,576,180347
10-04-22 00:00,AFG,394,180741
17-04-22 00:00,AFG,437,181178
24-04-22 00:00,AFG,630,181808
01-05-22 00:00,AFG,516,182324
08-05-22 00:00,AFG,469,182793
15-05-22 00:00,AFG,479,183272
22-05-22 00:00,AFG,636,183908
29-05-22 00:00,AFG,1178,185086
05-06-22 00:00,AFG,1034,186120
12-06-22 00:00,AFG,1846,187966
19-06-22 00:00,AFG,1511,189477
26-06-22 00:00,AFG,1770,191247
03-07-22 00:00,AFG,1757,193004
10-07-22 00:00,AFG,1610,194614
17-07-22 00:00,AFG,1790,196404
24-07-22 00:00,AFG,1204,197608
31-07-22 00:00,AFG,1142,198750
07-08-22 00:00,AFG,940,199690
14-08-22 00:00,AFG,936,200626
21-08-22 00:00,AFG,877,201503
28-08-22 00:00,AFG,844,202347
04-09-22 00:00,AFG,820,203167
11-09-22 00:00,AFG,775,203942
18-09-22 00:00,AFG,782,204724
25-09-22 00:00,AFG,600,205324
02-10-22 00:00,AFG,506,205830
09-10-22 00:00,AFG,501,206331
16-10-22 00:00,AFG,412,206743
23-10-22 00:00,AFG,403,207146
30-10-22 00:00,AFG,314,207460
06-11-22 00:00,AFG,194,207654
13-11-22 00:00,AFG,212,207866
20-11-22 00:00,AFG,143,208009
27-11-22 00:00,AFG,280,208289
04-12-22 00:00,AFG,256,208545
