date,iso_code,monthly_new_cases,monthly_total_cases
2019-12-01,AFG,5,5
2020-01-01,AFG,39,42
2020-02-01,AFG,984,1026
2020-03-01,AFG,10891,11917
2020-04-01,AFG,17650,29567
2020-05-01,AFG,6887,36454
2020-06-01,AFG,1702,38156
2020-07-01,AFG,1026,39182
2020-08-01,AFG,1755,40937
2020-09-01,AFG,4051,44988
2020-10-01,AFG,5900,50888
2020-11-01,AFG,3862,54750
2020-12-01,AFG,896,55646
2021-01-01,AFG,738,56384
2021-02-01,AFG,2841,59225
2021-03-01,AFG,7678,66903
2021-04-01,AFG,38846,105749
2021-05-01,AFG,39259,145008
2021-06-01,AFG,7652,152660
2021-07-01,AFG,2052,154712
2021-08-01,AFG,1359,156071
2021-09-01,AFG,944,157015
2021-10-01,AFG,983,157998
2021-11-01,AFG,2260,160252
2021-12-01,AFG,12464,172716
2022-01-01,AFG,4942,177658
2022-02-01,AFG,1111,178769
2022-03-01,AFG,1002,179771
2022-04-01,AFG,2037,181808
2022-05-01,AFG,3278,185086
2022-06-01,AFG,6161,191247
2022-07-01,AFG,7503,198750
2022-08-01,AFG,3597,202347
2022-09-01,AFG,2977,205324
2022-10-01,AFG,2136,207460
2022-11-01,AFG,829,208289
2022-12-01,AFG,940,209181
2023-01-01,AFG,188,209369
2023-01-01,ALB,64,64
2023-02-01,ALB,454,518
2023-03-01,ALB,44,562
2019-12-01,ALB,47,609
2020-01-01,ALB,340,949
2020-02-01,ALB,723,1672
2020-03-01,ALB,2618,4290
2020-04-01,ALB,3364,7654
2020-05-01,ALB,5012,12666
2020-06-01,ALB,4985,17651
2020-07-01,ALB,11475,29126
2020-08-01,ALB,24688,53814
2020-09-01,ALB,14754,68568
2020-10-01,ALB,26083,94651
2020-11-01,ALB,27196,121847
2020-12-01,ALB,7995,129842
2021-01-01,ALB,2387,132229
2021-02-01,ALB,267,132496
2021-03-01,ALB,244,132740
2021-04-01,ALB,3858,136598
2021-05-01,ALB,27678,164276
2021-06-01,ALB,14528,178804
2021-07-01,ALB,15052,193856
2021-08-01,ALB,12417,206273
2021-09-01,ALB,30213,236486
2021-10-01,ALB,33969,270455
2021-11-01,ALB,2691,273146
2021-12-01,ALB,1389,274535
2022-01-01,ALB,1404,275939
2022-02-01,ALB,1724,277663
2022-03-01,ALB,20915,298578
2022-04-01,ALB,24259,322837
2022-05-01,ALB,8878,331715
2022-06-01,ALB,958,332673
2022-07-01,ALB,609,333282
2022-08-01,ALB,404,333686
2022-09-01,ALB,378,334064
2022-10-01,ALB,272,334336
2022-11-01,ALB,91,334427
2022-11-01,DZA,24,24
2022-12-01,DZA,1642,1666
2023-01-01,DZA,4776,6442
2023-02-01,DZA,4147,10589
2023-03-01,DZA,330,10919
2019-12-01,DZA,228,11147
2020-01-01,DZA,9069,20216
2020-02-01,DZA,15988,36204
2020-03-01,DZA,12530,48734
2020-04-01,DZA,4665,53399
2020-05-01,DZA,16192,69591
2020-06-01,DZA,23474,93065
2020-07-01,DZA,9576,102641
2020-08-01,DZA,8428,111069
2020-09-01,DZA,4471,115540
2020-10-01,DZA,3259,118799
2020-11-01,DZA,6894,125693
2020-12-01,DZA,8422,134115
2021-01-01,DZA,21669,155784
2021-02-01,DZA,32879,188663
2021-03-01,DZA,11865,200528
2021-04-01,DZA,4262,204790
2021-05-01,DZA,3455,208245
2021-06-01,DZA,5043,213288
2021-07-01,DZA,9908,223196
2021-08-01,DZA,39374,262570
2021-09-01,DZA,2908,265478
2021-10-01,DZA,268,265746
2021-11-01,DZA,82,265828
2021-12-01,DZA,115,265943
2022-01-01,DZA,599,266542
2022-02-01,DZA,2839,269381
2022-03-01,DZA,1170,270551
2022-04-01,DZA,165,270716
2022-05-01,DZA,253,270969
2022-06-01,DZA,180,271149
2022-07-01,DZA,143,271292
2022-08-01,DZA,117,271409
2022-09-01,DZA,60,271469
2022-09-01,AND,1,1
2022-10-01,AND,672,673
2022-11-01,AND,87,760
2022-12-01,AND,92,852
2023-01-01,AND,10,862
2023-02-01,AND,115,977
2023-03-01,AND,12,989
2019-12-01,AND,16,1005
2020-01-01,AND,433,1438
2020-02-01,AND,1557,2995
2020-03-01,AND,2919,5914
2020-04-01,AND,1468,7382
2020-05-01,AND,1701,9083
2020-06-01,AND,1455,10538
2020-07-01,AND,751,11289
2020-08-01,AND,1516,12805
2020-09-01,AND,750,13555
2020-10-01,AND,271,13826
2020-11-01,AND,533,14359
2020-12-01,AND,595,14954
2021-01-01,AND,186,15140
2021-02-01,AND,227,15367
2021-03-01,AND,540,15907
2021-04-01,AND,3533,19440
2021-05-01,AND,10448,29888
2021-06-01,AND,7389,37277
2021-07-01,AND,1517,38794
2021-08-01,AND,1915,40709
2021-09-01,AND,1447,42156
2021-10-01,AND,1293,43449
2021-11-01,AND,1612,45061
2021-12-01,AND,838,45899
2022-01-01,AND,248,46147
2022-02-01,AND,219,46366
2022-03-01,AND,298,46664
2022-04-01,AND,782,47446
