date,iso_code,monthly_new_deaths,monthly_total_deaths
2020-02-01,AFG,70,1795
2020-01-01,AFG,88,1774
2020-03-01,AFG,77,1822
2020-04-01,AFG,81,1841
2020-05-01,AFG,197,1847
2020-06-01,AFG,385,1865
2020-07-01,AFG,352,1875
2020-08-01,AFG,122,1902
2020-09-01,AFG,68,1908
2020-10-01,AFG,153,1921
2020-11-01,AFG,265,1939
2020-12-01,AFG,331,2189
2021-01-01,AFG,285,7309
2021-02-01,AFG,206,7310
2021-03-01,AFG,167,7311
2021-04-01,AFG,279,7312
2021-05-01,AFG,412,7312
2021-06-01,AFG,1596,7316
2021-07-01,AFG,1057,7317
2021-08-01,AFG,303,7319
2021-09-01,AFG,229,7321
2021-10-01,AFG,247,7324
2021-11-01,AFG,207,7325
2021-12-01,AFG,179,7356
2022-01-01,AFG,60,7834
2022-02-01,AFG,127,7834
2022-03-01,AFG,44,7834
2022-04-01,AFG,11,7834
2022-05-01,AFG,34,7835
2022-06-01,AFG,23,7835
2022-07-01,AFG,42,7837
2022-08-01,AFG,45,7839
2022-09-01,AFG,35,7839
2022-10-01,AFG,32,7839
2022-11-01,AFG,14,7839
2022-12-01,AFG,26,7849
2023-01-01,AFG,28,7896
2023-02-01,AFG,9,7896
2023-03-01,AFG,1,7896
2023-04-01,AFG,3,7896
2023-05-01,AFG,2,7896
2023-06-01,AFG,0,7896
2023-07-01,AFG,0,7896
2023-08-01,AFG,3,7896
2023-09-01,AFG,1,7896
2023-10-01,AFG,0,7896
2023-11-01,AFG,0,7896
2023-12-01,AFG,0,7896
2020-02-01,OWID_AFR,1798,52580
2020-01-01,OWID_AFR,1803,52250
2020-03-01,OWID_AFR,1938,52847
2020-04-01,OWID_AFR,2846,53277
2020-05-01,OWID_AFR,3871,53564
2020-06-01,OWID_AFR,6003,53870
2020-07-01,OWID_AFR,8605,54118
2020-08-01,OWID_AFR,7949,54520
2020-09-01,OWID_AFR,5268,54870
2020-10-01,OWID_AFR,6683,55264
2020-11-01,OWID_AFR,7371,55662
2020-12-01,OWID_AFR,11372,65468
2021-01-01,OWID_AFR,22925,223365
2021-02-01,OWID_AFR,11372,223517
2021-03-01,OWID_AFR,10480,223666
2021-04-01,OWID_AFR,11051,223764
2021-05-01,OWID_AFR,11130,223846
2021-06-01,OWID_AFR,14405,224047
2021-07-01,OWID_AFR,22587,224175
2021-08-01,OWID_AFR,20642,224335
2021-09-01,OWID_AFR,12791,224472
2021-10-01,OWID_AFR,8670,224591
2021-11-01,OWID_AFR,7915,224745
2021-12-01,OWID_AFR,9063,228453
2022-01-01,OWID_AFR,7587,257229
2022-02-01,OWID_AFR,5669,257230
2022-03-01,OWID_AFR,2116,257231
2022-04-01,OWID_AFR,1349,257232
2022-05-01,OWID_AFR,1962,257237
2022-06-01,OWID_AFR,1236,257244
2022-07-01,OWID_AFR,2691,257245
2022-08-01,OWID_AFR,1429,257332
2022-09-01,OWID_AFR,1178,257332
2022-10-01,OWID_AFR,1220,257333
2022-11-01,OWID_AFR,1242,257334
2022-12-01,OWID_AFR,1231,257439
2023-01-01,OWID_AFR,132,257682
2023-02-01,OWID_AFR,46,257682
2023-03-01,OWID_AFR,104,257682
2023-04-01,OWID_AFR,2,257682
2023-05-01,OWID_AFR,5,257613
2023-06-01,OWID_AFR,7,257619
2023-07-01,OWID_AFR,7,257623
2023-08-01,OWID_AFR,2,257625
2023-09-01,OWID_AFR,7,257626
2023-10-01,OWID_AFR,4,257626
2023-11-01,OWID_AFR,5,257628
2023-12-01,OWID_AFR,4,257629
2020-02-01,ALB,43,839
2020-01-01,ALB,35,822
2020-03-01,ALB,50,852
2020-04-01,ALB,48,870
2020-05-01,ALB,46,889
2020-06-01,ALB,66,905
2020-07-01,ALB,100,922
2020-08-01,ALB,104,936
2020-09-01,ALB,94,951
2020-10-01,ALB,115,965
2020-11-01,ALB,253,977
2020-12-01,ALB,227,1181
2021-01-01,ALB,191,3101
2021-02-01,ALB,323,3104
2021-03-01,ALB,271,3108
2021-04-01,ALB,134,3109
2021-05-01,ALB,105,3110
2021-06-01,ALB,75,3115
2021-07-01,ALB,84,3122
2021-08-01,ALB,110,3126
2021-09-01,ALB,211,3128
2021-10-01,ALB,211,3130
2021-11-01,ALB,179,3132
2021-12-01,ALB,142,3217
2022-01-01,ALB,101,3594
2022-02-01,ALB,85,3594
2022-03-01,ALB,9,3594
2022-04-01,ALB,22,3594
2022-05-01,ALB,3,3594
2022-06-01,ALB,27,3594
2022-07-01,ALB,48,3594
2022-08-01,ALB,25,3594
2022-09-01,ALB,19,3594
2022-10-01,ALB,11,3594
2022-11-01,ALB,10,3594
2022-12-01,ALB,18,3595
2023-01-01,ALB,0,3598
2023-02-01,ALB,2,3598
2023-03-01,ALB,1,3598
2023-04-01,ALB,0,3598
2023-05-01,ALB,0,3596
2023-06-01,ALB,0,3596
2023-07-01,ALB,0,3596
2023-08-01,ALB,0,3596
2023-09-01,ALB,0,3596
2023-10-01,ALB,0,3596
2023-11-01,ALB,0,3596
2023-12-01,ALB,0,3596
2020-02-01,DZA,93,2464
2020-01-01,DZA,84,2447
2020-03-01,DZA,118,2480
2020-04-01,DZA,255,2492
2020-05-01,DZA,232,2501
2020-06-01,DZA,250,2516
2020-07-01,DZA,285,2527
2020-08-01,DZA,268,2539
2020-09-01,DZA,240,2554
2020-10-01,DZA,251,2564
2020-11-01,DZA,412,2575
2020-12-01,DZA,268,2756
2021-01-01,DZA,199,6076
2021-02-01,DZA,186,6083
2021-03-01,DZA,190,6089
2021-04-01,DZA,239,6096
2021-05-01,DZA,239,6103
2021-06-01,DZA,276,6111
2021-07-01,DZA,520,6114
2021-08-01,DZA,684,6122
2021-09-01,DZA,350,6126
2021-10-01,DZA,177,6132
2021-11-01,DZA,211,6137
2021-12-01,DZA,249,6276
2022-01-01,DZA,234,6881
2022-02-01,DZA,141,6881
2022-03-01,DZA,38,6881
2022-04-01,DZA,25,6881
