date,iso_code,monthly_vaccinations,monthly_total_vaccinations,monthly_fully_vaccinated
2021-05-01,AFG,2859,479574,113739
2021-03-01,AFG,4015,481800,148505
2022-01-01,AFG,6868,4517380,3868832
2022-04-01,AFG,383,5287027,4637327
2022-12-01,AFG,9447,10827184,10105500
2022-02-01,AFG,36587,11165700,10458947
2022-11-01,AFG,14800,11236798,10531675
2021-01-01,ALB,80075,1075332,965964
2021-02-01,ALB,57768,950620,805420
2021-03-01,ALB,71185,683052,538588
2021-04-01,ALB,212582,687768,541637
2021-05-01,ALB,126263,955083,816459
2021-06-01,ALB,146586,1087187,978333
2021-07-01,ALB,154462,1090591,981170
2021-08-01,ALB,158805,1092316,982658
2021-09-01,ALB,149635,962281,833070
2021-10-01,ALB,100735,1040015,913524
2021-11-01,ALB,58973,1067769,953489
2021-12-01,ALB,61300,1111494,1001189
2022-05-01,ALB,11284,1160648,1053236
2022-11-01,ALB,9006,1183130,1067328
2022-07-01,ALB,5146,1256409,1169470
2022-02-01,ALB,11345,1263745,1184292
2022-03-01,ALB,2541,1275907,1209791
2021-01-01,DZA,30,30,
2021-11-01,DZA,170756,6875003,5391232
2021-05-01,AND,2829,9781,4484
2021-12-01,AND,1973,,
2021-02-01,AIA,1421,2762,
2021-04-01,ATG,225,28639,
2021-05-01,ATG,3930,33024,12915
2021-07-01,ATG,3260,38146,30704
2021-09-01,ATG,260,36908,28429
2021-08-01,ATG,432,41061,34008
2022-01-01,ATG,305,63704,61327
2020-12-01,ARG,22907,43392,7
2021-01-01,ARG,2802186,37472337,27987879
2021-02-01,ARG,3348475,37551877,28156496
2021-03-01,ARG,4413934,37622287,28292659
2021-04-01,ARG,4860901,37654171,28356192
2021-05-01,ARG,5592600,37673311,28401639
2021-06-01,ARG,7622463,37740309,28555046
2021-07-01,ARG,9724783,37806700,28724711
2021-08-01,ARG,8969892,37833272,28779447
2021-09-01,ARG,7646032,37889251,28905735
2021-10-01,ARG,8722020,37943660,29040245
2021-11-01,ARG,6902480,37972590,29100604
2021-12-01,ARG,7644890,38820329,30775321
2022-01-01,ARG,6769431,41393853,34777970
2022-02-01,ARG,3519211,41394939,34778640
2022-03-01,ARG,3024506,41395104,34778764
2022-04-01,ARG,2824920,41395140,34778786
2022-05-01,ARG,4060743,41396165,34779462
2022-06-01,ARG,2866683,41397446,34780246
2022-07-01,ARG,2516985,41398862,34781192
2022-08-01,ARG,1647850,41398975,34781255
2022-09-01,ARG,1379802,41399112,34781295
2022-10-01,ARG,1552121,41399322,34781390
2022-11-01,ARG,1730928,41399349,34781404
2022-12-01,ARG,2682769,41420678,34794498
2023-01-01,ARG,701655,41473581,34849920
2023-02-01,ARG,375462,41473965,34850550
2023-03-01,ARG,139582,41473965,34850550
2023-04-01,ARG,123457,41458765,34829194
2023-05-01,ARG,107730,41458797,34829244
2023-06-01,ARG,128433,41459695,34830519
2023-07-01,ARG,43804,41460635,34831817
2023-08-01,ARG,33849,41461598,34833149
2023-09-01,ARG,115777,41462536,34834426
2023-10-01,ARG,116743,41463531,34835728
2023-11-01,ARG,94088,41463682,34835909
2023-12-01,ARG,84230,41463712,34835951
2021-04-01,ABW,33805,72858,66264
2021-05-01,ABW,27949,81564,75200
2021-06-01,ABW,6206,81641,75366
2021-07-01,ABW,6988,83844,78277
2021-08-01,ABW,6281,83876,78323
2021-11-01,ABW,4295,83640,78003
2021-12-01,ABW,6403,84694,78958
