iso_code,date,people_vaccinated,people_fully_vaccinated,new_vaccinations
AFG,5/27/2021 0:00,479574,113739,2859
AFG,6/3/2021 0:00,481800,148505,4015
AFG,1/27/2022 0:00,4517380,3868832,6868
AFG,4/27/2022 0:00,5287027,4637327,383
AFG,9/12/2022 0:00,10827184,10105500,9447
AFG,11/2/2022 0:00,11165700,10458947,36587
AFG,11/16/2022 0:00,11236798,10531675,14800
ALB,1/13/2021 0:00,188,,60
ALB,1/14/2021 0:00,266,,78
ALB,1/15/2021 0:00,308,,42
ALB,1/16/2021 0:00,369,,61
ALB,1/17/2021 0:00,405,,36
ALB,1/18/2021 0:00,447,,42
ALB,1/19/2021 0:00,483,,36
ALB,1/20/2021 0:00,519,,36
ALB,1/21/2021 0:00,549,,30
ALB,2/18/2021 0:00,2438,611,1348
ALB,2/19/2021 0:00,,,1128
ALB,3/23/2021 0:00,,,3461
ALB,3/24/2021 0:00,,,2302
ALB,3/25/2021 0:00,,,5356
ALB,3/26/2021 0:00,,,2900
ALB,3/27/2021 0:00,,,1827
ALB,3/28/2021 0:00,,,13925
ALB,3/31/2021 0:00,,,19525
ALB,4/1/2021 0:00,,,16617
ALB,4/2/2021 0:00,,,17023
ALB,4/3/2021 0:00,,,13010
ALB,4/4/2021 0:00,,,7386
ALB,4/5/2021 0:00,,,13826
ALB,4/6/2021 0:00,,,14880
ALB,4/7/2021 0:00,,,10791
ALB,4/8/2021 0:00,,,10163
ALB,4/9/2021 0:00,,,8134
ALB,4/10/2021 0:00,,,6134
ALB,4/13/2021 0:00,,,13685
ALB,4/16/2021 0:00,,,10134
ALB,4/17/2021 0:00,,,10218
ALB,4/18/2021 0:00,,,8065
ALB,4/19/2021 0:00,,,13029
ALB,4/20/2021 0:00,,,4066
ALB,4/21/2021 0:00,,,22075
ALB,4/22/2021 0:00,,,10923
ALB,4/23/2021 0:00,,,8353
ALB,4/24/2021 0:00,,,8713
ALB,4/27/2021 0:00,,,8236
ALB,4/28/2021 0:00,,,16773
ALB,4/29/2021 0:00,,,19620
ALB,4/30/2021 0:00,,,23655
ALB,5/1/2021 0:00,,,17125
ALB,5/4/2021 0:00,,,19886
ALB,5/5/2021 0:00,,,19197
ALB,5/6/2021 0:00,,,15642
ALB,5/7/2021 0:00,,,13467
ALB,5/8/2021 0:00,,,11073
ALB,5/9/2021 0:00,,,3234
ALB,5/10/2021 0:00,,,12959
ALB,5/11/2021 0:00,440921,181586,9548
ALB,5/12/2021 0:00,444755,187921,10169
ALB,5/13/2021 0:00,445402,192936,5662
ALB,5/14/2021 0:00,448571,204759,14992
ALB,5/18/2021 0:00,460191,228756,8864
