ABW,Aruba,106459
AFG,Afghanistan,41128772
AGO,Angola,35588996
AIA,Anguilla,15877
ALB,Albania,2842318
AND,Andorra,79843
ARE,United Arab Emirates,9441138
ARG,Argentina,45510324
ARM,Armenia,2780472
ATG,Antigua and Barbuda,93772
AUS,Australia,26177410
AUT,Austria,8939617
AZE,Azerbaijan,10358078
BDI,Burundi,12889583
BEL,Belgium,11655923
BEN,Benin,13352864
BES,Bonaire Sint Eustatius and Saba,27052
BFA,Burkina Faso,22673764
BGD,Bangladesh,171186368
BGR,Bulgaria,6781955
BHR,Bahrain,1472237
BHS,Bahamas,409989
BIH,Bosnia and Herzegovina,3233530
BLR,Belarus,9534956
BLZ,Belize,405285
BMU,Bermuda,64207
BOL,Bolivia,12224114
BRA,Brazil,215313504
BRB,Barbados,281646
BRN,Brunei,449002
BTN,Bhutan,782457
BWA,Botswana,2630300
CAF,Central African Republic,5579148
CAN,Canada,38454328
CHE,Switzerland,8740471
CHL,Chile,19603736
CHN,China,1425887360
CIV,Cote d'Ivoire,28160548
CMR,Cameroon,27914542
COD,Democratic Republic of Congo,99010216
COG,Congo,5970430
COK,Cook Islands,17032
COL,Colombia,51874028
COM,Comoros,836783
CPV,Cape Verde,593162
CRI,Costa Rica,5180836
CUB,Cuba,11212198
CUW,Curacao,191173
CYM,Cayman Islands,68722
CYP,Cyprus,896007
CZE,Czechia,10493990
DEU,Germany,83369840
DJI,Djibouti,1120851
DMA,Dominica,72758
DNK,Denmark,5882259
DOM,Dominican Republic,11228821
DZA,Algeria,44903228
ECU,Ecuador,18001002
EGY,Egypt,110990096
ERI,Eritrea,3684041
ESH,Western Sahara,576005
ESP,Spain,47558632
EST,Estonia,1326064
ETH,Ethiopia,123379928
FIN,Finland,5540745
FJI,Fiji,929769
FLK,Falkland Islands,3801
FRA,France,67813000
FRO,Faeroe Islands,53117
FSM,Micronesia (country),114178
GAB,Gabon,2388997
GBR,United Kingdom,67508936
GEO,Georgia,3744385
GGY,Guernsey,63329
GHA,Ghana,33475870
GIB,Gibraltar,32677
GIN,Guinea,13859349
GMB,Gambia,2705995
GNB,Guinea-Bissau,2105580
GNQ,Equatorial Guinea,1674916
GRC,Greece,10384972
GRD,Grenada,125459
GRL,Greenland,56494
GTM,Guatemala,17843914
GUM,Guam,171783
GUY,Guyana,808727
HKG,Hong Kong,7488863
HND,Honduras,10432858
HRV,Croatia,4030361
HTI,Haiti,11585003
HUN,Hungary,9967304
IDN,Indonesia,275501344
IMN,Isle of Man,84534
IND,India,1417173120
IRL,Ireland,5023108
IRN,Iran,88550568
IRQ,Iraq,44496124
ISL,Iceland,372903
ISR,Israel,9449000
ITA,Italy,59037472
JAM,Jamaica,2827382
JEY,Jersey,110796
JOR,Jordan,11285875
JPN,Japan,123951696
KAZ,Kazakhstan,19397998
KEN,Kenya,54027484
KGZ,Kyrgyzstan,6630621
KHM,Cambodia,16767851
KIR,Kiribati,131237
KNA,Saint Kitts and Nevis,47681
KOR,South Korea,51815808
KWT,Kuwait,4268886
LAO,Laos,7529477
LBN,Lebanon,5489744
LBR,Liberia,5302690
LBY,Libya,6812344
LCA,Saint Lucia,179872
LIE,Liechtenstein,39355
LKA,Sri Lanka,21832150
LSO,Lesotho,2305826
LTU,Lithuania,2750058
LUX,Luxembourg,647601
LVA,Latvia,1850654
MAC,Macao,695180
MAR,Morocco,37457976
MCO,Monaco,36491
MDA,Moldova,3272993
MDG,Madagascar,29611718
MDV,Maldives,523798
MEX,Mexico,127504120
MHL,Marshall Islands,41593
MKD,North Macedonia,2093606
MLI,Mali,22593598
MLT,Malta,533293
MMR,Myanmar,54179312
MNE,Montenegro,627082
MNG,Mongolia,3398373
MNP,Northern Mariana Islands,49574
MOZ,Mozambique,32969520
MRT,Mauritania,4736146
MSR,Montserrat,4413
MUS,Mauritius,1299478
MWI,Malawi,20405318
MYS,Malaysia,33938216
NAM,Namibia,2567024
NCL,New Caledonia,289959
NER,Niger,26207982
NGA,Nigeria,218541216
NIC,Nicaragua,6948395
NIU,Niue,1952
NLD,Netherlands,17564020
NOR,Norway,5434324
NPL,Nepal,30547586
NRU,Nauru,12691
NZL,New Zealand,5185289
OMN,Oman,4576300
PAK,Pakistan,235824864
PAN,Panama,4408582
PCN,Pitcairn,47
PER,Peru,34049588
PHL,Philippines,115559008
PLW,Palau,18084
PNG,Papua New Guinea,10142625
POL,Poland,39857144
PRI,Puerto Rico,3252412
PRK,North Korea,26069416
PRT,Portugal,10270857
PRY,Paraguay,6780745
PSE,Palestine,5250076
PYF,French Polynesia,306292
QAT,Qatar,2695131
ROU,Romania,19659270
RUS,Russia,144713312
RWA,Rwanda,13776702
SAU,Saudi Arabia,36408824
SDN,Sudan,46874200
SEN,Senegal,17316452
SGP,Singapore,5637022
SHN,Saint Helena,5401
SLB,Solomon Islands,724272
SLE,Sierra Leone,8605723
SLV,El Salvador,6336393
SMR,San Marino,33690
SOM,Somalia,17597508
SPM,Saint Pierre and Miquelon,5885
SRB,Serbia,6871547
SSD,South Sudan,10913172
STP,Sao Tome and Principe,227393
SUR,Suriname,618046
SVK,Slovakia,5643455
SVN,Slovenia,2119843
SWE,Sweden,10549349
SWZ,Eswatini,1201680
SXM,Sint Maarten (Dutch part),44192
SYC,Seychelles,107135
SYR,Syria,22125242
TCA,Turks and Caicos Islands,45726
TCD,Chad,17723312
TGO,Togo,8848700
THA,Thailand,71697024
TJK,Tajikistan,9952789
TKL,Tokelau,1893
TKM,Turkmenistan,6430777
TLS,Timor,1341298
TON,Tonga,106867
TTO,Trinidad and Tobago,1531043
TUN,Tunisia,12356116
TUR,Turkey,85341248
TUV,Tuvalu,11335
TWN,Taiwan,23893396
TZA,Tanzania,65497752
UGA,Uganda,47249588
UKR,Ukraine,39701744
URY,Uruguay,3422796
USA,United States,338289856
UZB,Uzbekistan,34627648
VAT,Vatican,808
VCT,Saint Vincent and the Grenadines,103959
VEN,Venezuela,28301700
VGB,British Virgin Islands,31332
VIR,United States Virgin Islands,99479
VNM,Vietnam,98186856
VUT,Vanuatu,326744
WLF,Wallis and Futuna,11596
WSM,Samoa,222390
YEM,Yemen,33696612
ZAF,South Africa,59893884
ZMB,Zambia,20017670
ZWE,Zimbabwe,16320539
